Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
banana,yellow,green_avocado,yellow_banana,0.055,0.0168421052631579,0.113157894736842
banana,yellow,green_pear,yellow_banana,0.091,0.0129264705882353,0.220617647058823
banana,yellow,green_pepper,yellow_banana,0.056,0.0205,0.103171052631579
banana,yellow,green_tomato,yellow_banana,0.039,0.00444444444444445,0.095
banana,yellow,orange_carrot,yellow_banana,0.029,0.00888888888888889,0.0555555555555556
banana,yellow,orange_pear,yellow_banana,0.015,0.00214285714285714,0.0357321428571428
banana,yellow,orange_pepper,yellow_banana,0.045,0.0133333333333333,0.0826833333333333
banana,yellow,purple_carrot,yellow_banana,0.061,0.0125,0.115020833333333
banana,yellow,purple_tomato,yellow_banana,0.162,0.005,0.455
banana,yellow,red_apple,yellow_banana,0.028,0.0123076923076923,0.0484615384615385
banana,yellow,red_avocado,yellow_banana,0.022,0.005625,0.04375
banana,yellow,red_pepper,yellow_banana,0.03,0.0114285714285714,0.0566785714285714
banana,yellow,red_tomato,yellow_banana,0.024,0.008125,0.0425
banana,yellow,yellow_banana,yellow_banana,0.975,0.9594359375,0.9856265625
banana,yellow,yellow_pear,yellow_banana,0.068,0.02625,0.125015625
carrot,brown,black_avocado,brown_carrot,0.018,0.00382692307692308,0.0407692307692308
carrot,brown,black_pepper,brown_carrot,0.041,0.0183333333333333,0.0638888888888889
carrot,brown,blue_apple,brown_carrot,0.035,0.0115789473684211,0.066328947368421
carrot,brown,blue_banana,brown_carrot,0.013,0.005975,0.022
carrot,brown,brown_banana,brown_carrot,0.011,0.00357142857142857,0.02
carrot,brown,brown_carrot,brown_carrot,0.875,0.83775,0.907078125
carrot,brown,green_apple,brown_carrot,0.044,0.0055,0.1185125
carrot,brown,green_avocado,brown_carrot,0.03,0.0108333333333333,0.0541666666666667
carrot,brown,green_pear,brown_carrot,0.027,0.001,0.068
carrot,brown,green_pepper,brown_carrot,0.06,0.00933333333333333,0.142066666666667
carrot,brown,green_tomato,brown_carrot,0.021,0.008125,0.03625
