gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
3985-8	overinformative-cc	0.637	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	black	black_pepper	yellow_pear	black_avocado	black_pepper
3985-8	informative-cc	0.953	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	red	red_apple	red_tomato	blue_apple	red_apple
3985-8	informative	0.462	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	blue	blue_apple	brown_banana	red_apple	blue_apple
3985-8	overinformative-cc	0.696	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	red	red_avocado	red_apple	orange_carrot	red_avocado
3985-8	overinformative	0.976	type	0	0	1	FALSE	TRUE	FALSE	carrot	orange	orange_carrot	green_avocado	black_avocado	carrot
3985-8	informative-cc	0.565	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	brown	brown_carrot	brown_banana	purple_carrot	brown_carrot
3985-8	informative-cc	0.966	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	green	green_avocado	red_avocado	green_pepper	green_avocado
3985-8	overinformative-cc	0.976	type	0	0	1	FALSE	TRUE	FALSE	carrot	orange	orange_carrot	blue_apple	orange_pepper	carrot
3985-8	overinformative	0.637	type	0	0	1	FALSE	TRUE	FALSE	pepper	black	black_pepper	red_apple	brown_carrot	pepper
3985-8	overinformative-cc	0.419	type	0	0	1	FALSE	TRUE	FALSE	banana	blue	blue_banana	black_pepper	blue_apple	banana
3985-8	informative-cc	0.841	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	orange	orange_pepper	green_avocado	black_pepper	orange_pepper
3985-8	overinformative	0.962	type	0	0	1	FALSE	TRUE	FALSE	tomato	red	red_tomato	blue_banana	black_avocado	tomato
3985-8	overinformative	0.979	type	0	0	1	FALSE	TRUE	FALSE	banana	yellow	yellow_banana	orange_pepper	red_pepper	banana
3985-8	informative	0.953	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	red	red_apple	black_pepper	green_apple	red_apple
3985-8	overinformative	0.686	type	0	0	1	FALSE	TRUE	FALSE	pear	orange	orange_pear	green_apple	brown_banana	pear
3985-8	overinformative	0.462	type	0	0	1	FALSE	TRUE	FALSE	apple	blue	blue_apple	red_pepper	black_avocado	apple
3985-8	informative	0.565	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	brown	brown_carrot	orange_carrot	black_avocado	brown_carrot
3985-8	informative	0.503	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	purple	purple_carrot	green_pear	orange_carrot	purple_carrot
3985-8	overinformative	0.934	type	0	0	1	FALSE	TRUE	FALSE	pepper	red	red_pepper	green_pear	blue_apple	pepper
3985-8	informative-cc	0.924	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	yellow	yellow_pear	green_pear	yellow_banana	yellow_pear
