gameid	Trial	condition	TargetItem	basiclevelClickedObj	superdomainClickedObj	speakerMessages	listenerMessages	refExp	clickedType	sub	basic	super	moreThanOneLevelMentioned	additionalAttrMentioned	oneMentioned	theMentioned	fullSentence	spLocsClickedObj	lisLocsClickedObj	alt1Name	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain
4633-0	4	basic22	pug	dog	animal	pug		pug	pug	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	elephant	2	3	NA	animal	pig	4	4	NA	animal
4633-0	7	basic22	goldFish	fish	animal	fish		fish	goldFish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	cow	4	3	NA	animal	rhino	3	2	NA	animal
4633-0	8	basic33	clownFish	fish	animal	fish		fish	clownFish	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	gloves	2	4	NA	clothing	cookies	4	3	NA	snack
4633-0	9	basic23	jellyBeans	candy	snack	jellybean		jellybean	jellyBeans	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	popcorn	2	3	NA	snack	bookcase	4	2	NA	furniture
4633-0	17	basic12	husky	dog	animal	wolf looking dog		wolf looking dog	husky	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	3	rhino	3	2	NA	animal	greyhound	2	4	dog	animal
4633-0	18	basic12	daisy	flower	plant	daisy yellow center		daisy yellow center	daisy	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	2	rosemary	2	4	NA	plant	lily	3	3	flower	plant
4633-0	19	basic22	dalmatian	dog	animal	dog		dog	dalmatian	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	squirrel	4	2	NA	animal	snake	3	3	NA	animal
4633-0	25	basic22	polarBear	bear	animal	bear		bear	polarBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	2	crocodile	2	3	NA	animal	cow	3	4	NA	animal
4633-0	28	basic33	blackBear	bear	animal	bear		bear	blackBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	lamp	3	4	NA	furniture	rosemary	4	3	NA	plant
4633-0	30	basic12	germanShepherd	dog	animal	smaller dog___other	the skinny one or the other one	smaller dog	germanShepherd	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	2	greyhound	3	3	dog	animal	pig	2	4	NA	animal
4633-0	31	basic23	poloShirt	shirt	clothing	shirt		shirt	poloShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	dress	3	2	NA	clothing	bookcase	4	3	NA	furniture
4633-0	32	basic22	bedsideTable	table	furniture	nightstand		nightstand	bedsideTable	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	3	bookcase	3	2	NA	furniture	bed	2	4	NA	furniture
4633-0	33	basic12	catfish	fish	animal	catfish		catfish	catfish	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	discusFish	4	4	fish	animal	horse	2	3	NA	animal
4633-0	35	basic12	hummingBird	bird	animal	hummingbird		hummingbird	hummingBird	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	crocodile	3	3	NA	animal	sparrow	2	2	bird	animal
4633-0	36	basic33	pandaBear	bear	animal	panda		panda	pandaBear	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	train	2	4	NA	vehicle	gloves	4	2	NA	clothing
