itemtype,labeltype,item,label,meanresponse,YMin,YMax
dist_samesuper,sub,lobster,a parrot,0.0138888888888889,0.00611111111111111,0.0233333333333333
dist_samesuper,sub,lobster,a pigeon,0.04,0.0164285714285714,0.0685714285714286
dist_samesuper,sub,lobster,a pug,0.0307142857142857,0.015,0.0492857142857143
dist_samesuper,sub,lobster,a swordfish,0.0175,0.005,0.0333333333333333
dist_samesuper,sub,motorcycle,a convertible,0.111481481481481,0.052212962962963,0.193722222222222
dist_samesuper,sub,motorcycle,a minivan,0.0328571428571429,0.01,0.0600178571428571
dist_samesuper,sub,motorcycle,a sports car,0.129,0.043,0.232025
dist_samesuper,sub,motorcycle,an SUV,0.03,0.007975,0.057
dist_samesuper,sub,pig,a black bear,0.05,0.0107142857142857,0.119285714285714
dist_samesuper,sub,pig,a catfish,0.0554166666666667,0.0141666666666667,0.116677083333333
dist_samesuper,sub,pig,a clownfish,0.0361111111111111,0.00777777777777778,0.0861111111111111
dist_samesuper,sub,pig,a dalmatian,0.0518181818181818,0.0154545454545455,0.104568181818182
dist_samesuper,sub,pig,a German Shepherd,0.0233333333333333,0.00222222222222222,0.0588888888888889
dist_samesuper,sub,pig,a goldfish,0.0384615384615385,0.0115384615384615,0.0731153846153846
dist_samesuper,sub,pig,a hummingbird,0.00818181818181818,0.00181818181818182,0.0154545454545455
dist_samesuper,sub,pig,a husky,0.0366666666666667,0.00533333333333334,0.0853333333333333
dist_samesuper,sub,pig,a panda bear,0.011,0.004,0.017
dist_samesuper,sub,pig,a parrot,0.02,0.006,0.037
dist_samesuper,sub,pig,a pigeon,0.0864705882352941,0.0152794117647059,0.208823529411765
dist_samesuper,sub,pig,a polar bear,0.015,0.00625,0.025
dist_samesuper,sub,pig,a pug,0.0429411764705882,0.0170588235294118,0.0747205882352941
dist_samesuper,sub,pig,a swordfish,0.0366666666666667,0.0075,0.0766666666666667
dist_samesuper,sub,pig,an eagle,0.0183333333333333,0.00611111111111111,0.0366666666666667
dist_samesuper,sub,popcorn,gummybears,0.064375,0.0225,0.118765625
dist_samesuper,sub,popcorn,jellybeans,0.0476923076923077,0.00846153846153846,0.109230769230769
dist_samesuper,sub,popcorn,M&Ms,0.0292857142857143,0.01,0.0521428571428571
dist_samesuper,sub,popcorn,skittles,0.03,0.00833333333333333,0.0650138888888889
dist_samesuper,sub,pottedplant,a daisy,0.134615384615385,0.0376923076923077,0.244634615384615
