Item,Color,Utterance,Typicality,CI.low,CI.high
banana,brown,red tomato,0.034,0.00498214285714286,0.0778571428571429
banana,brown,yellow banana,0.3,0.2633109375,0.3393828125
banana,brown,yellow pear,0.045,0.0185595238095238,0.0785714285714286
banana,yellow,black avocado,0.046,0.0215384615384615,0.0730769230769231
banana,yellow,black pepper,0.044,0.0122727272727273,0.0809204545454545
banana,yellow,blue apple,0.029,0.00925925925925926,0.0533518518518518
banana,yellow,blue banana,0.162,0.13455625,0.190628125
banana,yellow,brown banana,0.224,0.1926828125,0.2567515625
banana,yellow,brown carrot,0.028,0.005625,0.058125
banana,yellow,green apple,0.05,0.00928571428571429,0.118589285714286
banana,yellow,green avocado,0.055,0.0157894736842105,0.117907894736842
banana,yellow,green pear,0.091,0.0129411764705882,0.2
banana,yellow,green pepper,0.056,0.0221052631578947,0.0963421052631579
banana,yellow,green tomato,0.039,0.00444444444444445,0.0977777777777778
banana,yellow,orange carrot,0.029,0.00888888888888889,0.0561111111111111
banana,yellow,orange pear,0.015,0.00214285714285714,0.035
banana,yellow,orange pepper,0.045,0.014,0.0860166666666667
banana,yellow,purple carrot,0.061,0.0125,0.120833333333333
banana,yellow,purple tomato,0.162,0.005,0.45
banana,yellow,red apple,0.028,0.0115384615384615,0.05
banana,yellow,red avocado,0.022,0.00625,0.04375
banana,yellow,red pepper,0.03,0.0119047619047619,0.0561904761904762
banana,yellow,red tomato,0.024,0.0075,0.043125
banana,yellow,yellow banana,0.975,0.957496875,0.9846890625
banana,yellow,yellow pear,0.068,0.0225,0.123125
carrot,brown,black avocado,0.018,0.00384615384615385,0.04
carrot,brown,black pepper,0.041,0.0183333333333333,0.0644444444444444
carrot,brown,blue apple,0.035,0.0110526315789474,0.0678947368421053
carrot,brown,blue banana,0.013,0.005975,0.022
carrot,brown,brown banana,0.011,0.00285714285714286,0.02
carrot,brown,brown carrot,0.875,0.839684375,0.907625
carrot,brown,green apple,0.044,0.0055,0.1185
carrot,brown,green avocado,0.03,0.0108333333333333,0.0533333333333333
carrot,brown,green pear,0.027,0.002,0.073
carrot,brown,green pepper,0.06,0.00933333333333333,0.141333333333333
carrot,brown,green tomato,0.021,0.008125,0.0375
carrot,brown,orange carrot,0.238,0.2025609375,0.272878125
carrot,brown,orange pear,0.044,0.005,0.100025
carrot,brown,orange pepper,0.102,0.025,0.191025
carrot,brown,purple carrot,0.205,0.138985,0.27461
carrot,brown,purple tomato,0.116,0.0275,0.23015625
carrot,brown,red apple,0.04,0.00331666666666667,0.101366666666667
carrot,brown,red avocado,0.02,0.006859375,0.036265625
carrot,brown,red pepper,0.027,0.01,0.0485714285714286
carrot,brown,red tomato,0.063,0.026875,0.105
carrot,brown,yellow banana,0.005,0,0.012
carrot,brown,yellow pear,0.037,0.00665277777777778,0.081125
carrot,orange,black avocado,0.025,0.00357142857142857,0.0557321428571428
carrot,orange,black pepper,0.019,0.005625,0.033125
carrot,orange,blue apple,0.033,0.0114875,0.0600125
carrot,orange,blue banana,0.032,0.0105882352941176,0.0564705882352941
carrot,orange,brown banana,0.024,0.00625,0.045015625
carrot,orange,brown carrot,0.249,0.208875,0.2860078125
carrot,orange,green apple,0.049,0.00944444444444444,0.111111111111111
carrot,orange,green avocado,0.024,0.00181818181818182,0.0518181818181818
carrot,orange,green pear,0.019,0.00428571428571429,0.0371428571428571
carrot,orange,green pepper,0.013,0.00545454545454545,0.02
carrot,orange,green tomato,0.023,0.006875,0.0425
carrot,orange,orange carrot,0.971,0.95518125,0.9833765625
carrot,orange,orange pear,0.044,0.0126086956521739,0.0826195652173913
carrot,orange,orange pepper,0.061,0.0185714285714286,0.11075
carrot,orange,purple carrot,0.119,0.0699947916666667,0.172098958333333
carrot,orange,purple tomato,0.083,0,0.237520833333333
carrot,orange,red apple,0.033,0.00470588235294118,0.0682647058823529
carrot,orange,red avocado,0.035,0.00928571428571429,0.0757142857142857
carrot,orange,red pepper,0.011,0.00569642857142857,0.0178571428571429
carrot,orange,red tomato,0.11,0.00928571428571429,0.262196428571429
carrot,orange,yellow banana,0.066,0.012125,0.132857142857143
carrot,orange,yellow pear,0.039,0.0141029411764706,0.0729411764705882
carrot,purple,black avocado,0.041,0.005,0.093025
carrot,purple,black pepper,0.03,0.00909090909090909,0.0632159090909091
