modelVersion,costs,semantics,margLikelihood
typicality,empirical,fixedplusempirical,-1195.596344751129
typicality,fixed,fixedplusempirical,-1251.1927500527775
typicality,empirical,empirical,-1405.431418089498
typicality,fixed,empirical,-1333.2595890846917
typicality,none,empirical,-1350.5605600519484
typicality,none,fixedplusempirical,-1177.5010329932834
typicality,empirical,empirical,-1401.1718563536533
typicality,fixed,fixedplusempirical,-1205.812209382464
typicality,fixed,empirical,-1347.3665637065353
typicality,none,fixedplusempirical,-1257.3858825820319
typicality,empirical,fixedplusempirical,-1217.695429104462
typicality,none,empirical,-1336.5012448440705
typicality,fixed,fixedplusempirical,-1234.3252872604944
typicality,fixed,empirical,-1401.0954078985487
typicality,empirical,empirical,-1403.310459647236
typicality,empirical,fixedplusempirical,-1208.8331327947021
typicality,none,fixedplusempirical,-1208.130283865166
typicality,none,empirical,-1335.8555964133031
typicality,fixed,fixedplusempirical,-1196.7077309109684
typicality,empirical,empirical,-1388.6682883422643
typicality,empirical,fixedplusempirical,-1238.78093213091
typicality,fixed,empirical,-1379.399330631181
typicality,empirical,fixedplusempirical,-1320.6902236050407
typicality,none,empirical,-1345.3187809340805
typicality,fixed,empirical,-1327.1259522745695
typicality,empirical,empirical,-1455.4446762904206
typicality,none,fixedplusempirical,-1224.4104434857156
typicality,fixed,fixedplusempirical,-1269.1849819578501
typicality,none,fixedplusempirical,-1177.9319084850947
typicality,empirical,fixedplusempirical,-1247.6216127085122
typicality,none,empirical,-1336.3792089751125
typicality,empirical,empirical,-1365.1275127655545
typicality,fixed,empirical,-1354.6201758925351
typicality,fixed,fixedplusempirical,-1186.827911588706
typicality,none,empirical,-1335.7655853769472
typicality,empirical,fixedplusempirical,-1207.1700639556018
typicality,none,fixedplusempirical,-1194.9392157870025
typicality,empirical,empirical,-1377.668205401204
typicality,fixed,fixedplusempirical,-1197.4759557272307
typicality,fixed,empirical,-1338.539760090452
typicality,none,empirical,-1344.6980864782242
typicality,empirical,fixedplusempirical,-1258.3624999156693
typicality,none,fixedplusempirical,-1174.276436012252
typicality,empirical,empirical,-1389.3988383957255
typicality,fixed,fixedplusempirical,-1206.3333830709767
typicality,fixed,empirical,-1354.9921559203956
typicality,empirical,fixedplusempirical,-1267.1013536053638
typicality,none,fixedplusempirical,-1178.595340197616
typicality,none,empirical,-1344.3276725570402
typicality,empirical,empirical,-1367.047448782533
typicality,fixed,fixedplusempirical,-1212.9345989525555
typicality,fixed,empirical,-1365.1292478664968
typicality,none,empirical,-1338.7783585633622
typicality,none,fixedplusempirical,-1201.7982418286058
typicality,empirical,fixedplusempirical,-1185.0123319719344
typicality,fixed,fixedplusempirical,-1214.4028173137883
typicality,empirical,empirical,-1364.75921060281
typicality,fixed,empirical,-1344.0336002761646
typicality,none,empirical,-1340.6875840356556
typicality,fixed,fixedplusempirical,-1244.3406328097665
typicality,none,fixedplusempirical,-1175.9401747560007
typicality,fixed,empirical,-1376.363137989
typicality,empirical,empirical,-1399.3627903647753
typicality,empirical,fixedplusempirical,-1202.4506918618847
typicality,none,fixedplusempirical,-1178.6441366146366
typicality,fixed,fixedplusempirical,-1207.0042326046632
typicality,none,empirical,-1385.4238763995506
typicality,fixed,empirical,-1332.5872650335261
typicality,empirical,empirical,-1377.897056313153
typicality,empirical,fixedplusempirical,-1280.0871487960824
typicality,none,fixedplusempirical,-1192.4248497333494
typicality,none,empirical,-1390.6612152204773
typicality,fixed,fixedplusempirical,-1188.9607723412491
typicality,empirical,fixedplusempirical,-1200.1025115631849
typicality,empirical,empirical,-1444.7988379254234
typicality,fixed,empirical,-1334.8487705410287
typicality,fixed,empirical,-1305.7241014395577
typicality,none,fixedplusempirical,-1181.0986654398505
typicality,none,empirical,-1345.964386217088
typicality,empirical,empirical,-1388.4630629628725
typicality,empirical,fixedplusempirical,-1188.509375075732
typicality,fixed,fixedplusempirical,-1285.981233231195
typicality,none,empirical,-1336.7096066083539
typicality,empirical,fixedplusempirical,-1196.5687443650393
typicality,none,fixedplusempirical,-1178.1865032987314
typicality,fixed,empirical,-1377.1331248037197
typicality,empirical,empirical,-1356.8379459467355
typicality,fixed,fixedplusempirical,-1206.2238066804766
typicality,none,fixedplusempirical,-1195.7951932463009
typicality,empirical,empirical,-1371.318702944958
typicality,fixed,fixedplusempirical,-1251.348585922295
typicality,empirical,fixedplusempirical,-1257.5481964747119
typicality,none,empirical,-1341.2886604732473
typicality,fixed,empirical,-1333.6882721151019
typicality,none,fixedplusempirical,-1188.4530694438963
typicality,none,empirical,-1337.737120242099
typicality,fixed,empirical,-1387.2177889262098
typicality,fixed,fixedplusempirical,-1212.7905846842684
typicality,empirical,empirical,-1382.4295051928127
typicality,empirical,fixedplusempirical,-1207.0915107287256
typicality,none,empirical,-1341.5397937627679
typicality,none,fixedplusempirical,-1180.0601714335162
typicality,fixed,fixedplusempirical,-1245.5650415730436
typicality,empirical,empirical,-1349.1870836970515
typicality,fixed,empirical,-1373.5074995339576
typicality,empirical,fixedplusempirical,-1336.118040325846
typicality,none,empirical,-1395.6973960933665
typicality,none,fixedplusempirical,-1202.4176353898536
typicality,fixed,fixedplusempirical,-1263.9163646733818
typicality,empirical,fixedplusempirical,-1202.791282659145
typicality,empirical,empirical,-1350.3679791876295
typicality,fixed,empirical,-1328.251561816428
typicality,none,fixedplusempirical,-1182.0055120031316
typicality,empirical,empirical,-1378.319436622038
typicality,none,empirical,-1341.0901250774898
typicality,fixed,empirical,-1336.4273217299553
typicality,fixed,fixedplusempirical,-1240.9096247528357
typicality,empirical,fixedplusempirical,-1314.2011415220902
typicality,none,fixedplusempirical,-1185.4520456824848
typicality,none,empirical,-1345.8668947609142
typicality,fixed,fixedplusempirical,-1205.6774894354655
typicality,fixed,empirical,-1325.2805699602957
typicality,empirical,empirical,-1383.4208749274483
typicality,empirical,fixedplusempirical,-1182.365097047053
typicality,none,fixedplusempirical,-1182.7748808546175
typicality,none,empirical,-1336.06623763601
