clickedType,condition,DistractorCombo
jellybeans,basic23,pretzels snake
minivan,basic23,hamster motorcycle
coffeetable,basic12,bookcase sideTable
convertible,basic33,gloves wardrobe
pigeon,basic22,horse iguana
blackbear,basic23,crocodile pretzels
dalmatian,basic22,crocodile rabbit
suv,basic23,ambulance snake
grizzlybear,basic22,kitten sheep
sportscar,basic22,firetruck train
catfish,basic23,hamster train
goldfish,basic33,gloves lamp
swordfish,basic22,bison pig
tulip,basic33,popcorn snake
diningtable,basic33,bison dress
husky,basic33,pretzels rosemary
parrot,basic22,cow lion
pandabear,basic12,koalaBear squirrel
poloshirt,basic33,cookies lion
convertible,basic23,motorcycle socks
grizzlybear,basic22,lobster snake
bedsidetable,basic23,bed bison
goldfish,basic23,dress hamster
mnms,basic33,lamp motorcycle
rose,basic23,ivy lobster
dalmatian,basic23,crocodile gloves
coffeetable,basic33,lobster popcorn
jellybeans,basic23,cookies lion
tulip,basic22,ivy rosemary
pandabear,basic33,bookcase grasses
dressshirt,basic33,bison lamp
blackbear,basic33,popcorn rosemary
hummingbird,basic22,bison iguana
pug,basic23,firetruck hamster
pigeon,basic23,pretzels rhino
daisy,basic33,firetruck socks
sunflower,basic22,ivy rosemary
picnictable,basic23,bookcase train
skittles,basic33,bookcase rosemary
clownfish,basic33,bathrobe pottedPlant
eagle,basic22,rhino snake
clownfish,basic12,crocodile discusFish
hawaiishirt,basic23,gloves snake
blackbear,basic23,cow pretzels
dressshirt,basic33,hamster train
gummybears,basic22,cookies pretzels
goldfish,basic23,bison socks
pug,basic12,cow greyhound
dalmatian,basic22,iguana snake
daisy,basic23,gloves rosemary
husky,basic33,bed dress
jellybeans,basic23,lamp pretzels
picnictable,basic23,horse wardrobe
sunflower,basic12,ivy lily
pigeon,basic22,crocodile pig
bedsidetable,basic33,gloves snake
clownfish,basic23,bathrobe crocodile
grizzlybear,basic12,hamster koalaBear
convertible,basic23,ambulance squirrel
germanshepherd,basic22,lion squirrel
blackbear,basic33,gloves popcorn
goldfish,basic23,chips hamster
polarbear,basic33,dress wardrobe
poloshirt,basic33,motorcycle rosemary
suv,basic33,chips crocodile
coffeetable,basic33,pretzels train
catfish,basic12,discusFish lion
eagle,basic12,lobster sparrow
diningtable,basic22,bed bookcase
minivan,basic23,firetruck grasses
parrot,basic12,horse sparrow
dressshirt,basic23,gloves pretzels
tulip,basic33,pretzels squirrel
hummingbird,basic33,chips lamp
swordfish,basic23,bed iguana
poloshirt,basic23,dress pretzels
swordfish,basic33,popcorn pottedPlant
husky,basic22,elephant rabbit
eagle,basic33,dress wardrobe
pandabear,basic22,lion squirrel
pigeon,basic23,ambulance pig
clownfish,basic12,discusFish lobster
bedsidetable,basic23,bed snake
dalmatian,basic22,iguana sheep
suv,basic23,dress train
gummybears,basic23,bathrobe popcorn
pug,basic22,kitten sheep
germanshepherd,basic33,rosemary socks
hummingbird,basic23,bookcase hamster
parrot,basic22,horse iguana
convertible,basic33,horse pretzels
jellybeans,basic33,bed firetruck
tshirt,basic33,ambulance lamp
sunflower,basic22,grasses rosemary
polarbear,basic23,gloves pig
goldfish,basic22,kitten rabbit
grizzlybear,basic22,crocodile sheep
hawaiishirt,basic33,grasses motorcycle
daisy,basic33,gloves train
skittles,basic23,chips pottedPlant
catfish,basic33,popcorn socks
germanshepherd,basic33,bathrobe popcorn
pigeon,basic23,crocodile lamp
polarbear,basic22,cow pig
tshirt,basic23,pretzels socks
sportscar,basic23,iguana train
gummybears,basic12,candyCorn cookies
jellybeans,basic33,bed motorcycle
bedsidetable,basic33,lobster pottedPlant
coffeetable,basic33,elephant ivy
parrot,basic22,bison rhino
grizzlybear,basic33,bookcase popcorn
tulip,basic33,elephant pretzels
swordfish,basic23,bison firetruck
skittles,basic33,gloves kitten
pandabear,basic12,koalaBear rhino
hawaiishirt,basic33,bison bookcase
mnms,basic23,hamster pretzels
pug,basic22,lion rabbit
diningtable,basic23,chips wardrobe
minivan,basic23,firetruck lobster
eagle,basic22,elephant iguana
hummingbird,basic12,pig sparrow
catfish,basic22,cow lobster
sunflower,basic23,pottedPlant train
suv,basic23,motorcycle rosemary
poloshirt,basic22,bathrobe dress
minivan,basic33,crocodile rosemary
tulip,basic33,firetruck gloves
germanshepherd,basic33,bookcase rosemary
coffeetable,basic33,popcorn rhino
dalmatian,basic33,bathrobe wardrobe
tshirt,basic23,bathrobe kitten
picnictable,basic33,bathrobe grasses
polarbear,basic22,kitten pig
goldfish,basic12,discusFish pig
parrot,basic22,hamster snake
pug,basic23,firetruck sheep
jellybeans,basic23,popcorn train
dressshirt,basic33,motorcycle wardrobe
skittles,basic23,bookcase chips
hummingbird,basic22,hamster rhino
swordfish,basic33,pretzels wardrobe
catfish,basic23,bed bison
pigeon,basic12,cow sparrow
grizzlybear,basic22,hamster rabbit
husky,basic23,bookcase elephant
sunflower,basic23,rosemary socks
gummybears,basic23,bison chips
convertible,basic23,dress train
grizzlybear,basic33,chips wardrobe
germanshepherd,basic33,chips dress
tulip,basic22,pottedPlant rosemary
jellybeans,basic33,elephant wardrobe
tshirt,basic33,pottedPlant wardrobe
hawaiishirt,basic22,dress gloves
pigeon,basic23,firetruck iguana
bedsidetable,basic23,bed cow
hummingbird,basic22,elephant kitten
clownfish,basic22,bison elephant
dressshirt,basic23,hamster socks
pandabear,basic33,pretzels train
goldfish,basic22,hamster rhino
coffeetable,basic12,bed sideTable
diningtable,basic23,pottedPlant wardrobe
dalmatian,basic23,motorcycle sheep
swordfish,basic33,ambulance bed
sunflower,basic33,ambulance bison
blackbear,basic33,cookies socks
gummybears,basic33,bed hamster
polarbear,basic22,rabbit squirrel
suv,basic23,ambulance squirrel
husky,basic23,rhino train
sportscar,basic23,firetruck lamp
parrot,basic12,lion sparrow
pug,basic12,greyhound snake
coffeetable,basic23,chips wardrobe
hummingbird,basic33,rosemary wardrobe
skittles,basic33,bookcase train
grizzlybear,basic22,elephant squirrel
clownfish,basic33,bed socks
bedsidetable,basic23,cow lamp
poloshirt,basic22,bathrobe socks
blackbear,basic23,ivy pig
polarbear,basic22,elephant pig
diningtable,basic23,dress lamp
pug,basic33,grasses motorcycle
germanshepherd,basic12,greyhound squirrel
dalmatian,basic22,crocodile snake
daisy,basic33,dress pretzels
hawaiishirt,basic23,firetruck socks
suv,basic33,bathrobe ivy
swordfish,basic23,cookies rabbit
goldfish,basic23,horse wardrobe
sunflower,basic23,grasses wardrobe
tshirt,basic12,campShirt socks
husky,basic33,popcorn train
tulip,basic33,bed lobster
eagle,basic23,elephant pottedPlant
tulip,basic22,grasses ivy
dressshirt,basic33,pottedPlant sheep
tshirt,basic33,bison chips
diningtable,basic33,ambulance ivy
jellybeans,basic33,lamp rabbit
pigeon,basic22,hamster rabbit
hawaiishirt,basic12,campShirt socks
sunflower,basic23,pottedPlant socks
dalmatian,basic22,rabbit snake
blackbear,basic12,iguana koalaBear
pandabear,basic23,ambulance cow
hummingbird,basic12,kitten sparrow
husky,basic23,motorcycle squirrel
coffeetable,basic33,chips train
mnms,basic33,ivy train
suv,basic33,bookcase rabbit
picnictable,basic23,bookcase pig
convertible,basic23,cow train
eagle,basic12,iguana sparrow
germanshepherd,basic23,cookies crocodile
bedsidetable,basic33,chips pig
pug,basic12,greyhound rabbit
catfish,basic23,firetruck hamster
clownfish,basic23,motorcycle sheep
swordfish,basic22,hamster snake
gummybears,basic33,grasses wardrobe
parrot,basic23,dress lobster
tshirt,basic23,bathrobe motorcycle
skittles,basic12,candyCorn cookies
coffeetable,basic33,horse motorcycle
gummybears,basic33,grasses lion
bedsidetable,basic23,horse wardrobe
eagle,basic22,kitten snake
minivan,basic33,gloves pig
dalmatian,basic12,greyhound squirrel
mnms,basic23,cookies squirrel
hummingbird,basic22,hamster rabbit
hawaiishirt,basic33,bison pretzels
polarbear,basic22,crocodile rhino
sportscar,basic33,chips rabbit
tulip,basic23,pottedPlant rhino
swordfish,basic23,dress snake
pug,basic22,iguana lobster
goldfish,basic22,rabbit rhino
pandabear,basic33,bed socks
rose,basic33,squirrel train
catfish,basic12,crocodile discusFish
sunflower,basic33,rhino wardrobe
parrot,basic33,pottedPlant pretzels
germanshepherd,basic23,bookcase lobster
daisy,basic23,ambulance grasses
hummingbird,basic33,motorcycle wardrobe
diningtable,basic23,bed elephant
pug,basic22,cow elephant
eagle,basic33,rosemary socks
pandabear,basic23,bison pretzels
dressshirt,basic23,bathrobe lobster
coffeetable,basic22,bookcase lamp
pigeon,basic12,iguana sparrow
convertible,basic22,firetruck train
suv,basic33,crocodile lamp
tulip,basic23,firetruck ivy
swordfish,basic33,ambulance socks
rose,basic33,ambulance kitten
picnictable,basic33,dress hamster
goldfish,basic12,cow discusFish
jellybeans,basic23,cookies rosemary
sportscar,basic33,ivy pig
sunflower,basic22,pottedPlant rosemary
grizzlybear,basic33,bed cookies
gummybears,basic23,bookcase pretzels
catfish,basic33,bathrobe ivy
husky,basic22,kitten snake
blackbear,basic12,koalaBear pig
tulip,basic33,lion motorcycle
mnms,basic23,cow popcorn
pigeon,basic12,sparrow squirrel
pug,basic22,rabbit sheep
skittles,basic23,cookies train
rose,basic33,motorcycle rabbit
hawaiishirt,basic23,lobster socks
daisy,basic33,motorcycle squirrel
blackbear,basic33,ambulance wardrobe
catfish,basic23,grasses iguana
minivan,basic12,firetruck sedan
bedsidetable,basic23,gloves lamp
daisy,basic23,horse rosemary
dalmatian,basic22,lion sheep
gummybears,basic23,cow popcorn
eagle,basic12,rhino sparrow
picnictable,basic23,bed horse
pigeon,basic23,hamster wardrobe
dressshirt,basic33,bookcase sheep
polarbear,basic22,horse lion
hummingbird,basic33,ambulance chips
sunflower,basic23,grasses squirrel
goldfish,basic22,sheep snake
hawaiishirt,basic33,lamp train
skittles,basic33,bathrobe wardrobe
pandabear,basic33,grasses socks
parrot,basic22,pig snake
tulip,basic22,grasses rosemary
jellybeans,basic33,lobster rosemary
germanshepherd,basic33,firetruck lamp
blackbear,basic12,koalaBear snake
grizzlybear,basic23,bookcase elephant
coffeetable,basic33,horse ivy
clownfish,basic22,lion lobster
swordfish,basic12,bison discusFish
pug,basic33,train wardrobe
polarbear,basic33,popcorn socks
gummybears,basic23,bathrobe pretzels
jellybeans,basic23,cookies rabbit
husky,basic23,pottedPlant squirrel
coffeetable,basic22,bookcase wardrobe
coffeetable,basic33,rosemary socks
sunflower,basic33,horse socks
swordfish,basic22,cow pig
mnms,basic23,pretzels rosemary
hummingbird,basic22,bison kitten
minivan,basic33,lobster wardrobe
pug,basic22,iguana pig
grizzlybear,basic12,kitten koalaBear
pigeon,basic22,hamster squirrel
eagle,basic33,bed ivy
sportscar,basic12,motorcycle sedan
suv,basic22,firetruck train
pandabear,basic22,elephant iguana
bedsidetable,basic33,cookies lion
tshirt,basic33,cookies rabbit
poloshirt,basic33,bookcase cookies
dalmatian,basic23,grasses squirrel
gummybears,basic33,bathrobe lamp
tulip,basic33,cookies pig
husky,basic23,firetruck lobster
parrot,basic12,iguana sparrow
clownfish,basic23,popcorn rabbit
diningtable,basic33,horse pretzels
dressshirt,basic23,dress pretzels
minivan,basic33,lion wardrobe
catfish,basic12,cow discusFish
polarbear,basic23,crocodile lamp
goldfish,basic23,bison lamp
convertible,basic23,bookcase firetruck
pug,basic33,ambulance popcorn
rose,basic33,firetruck rhino
hummingbird,basic12,sparrow squirrel
pigeon,basic22,lion rabbit
daisy,basic22,grasses rosemary
mnms,basic23,chips lobster
jellybeans,basic23,bathrobe chips
gummybears,basic23,pretzels squirrel
mnms,basic33,dress squirrel
blackbear,basic22,horse squirrel
suv,basic23,bed train
sportscar,basic33,bathrobe rosemary
germanshepherd,basic23,rosemary squirrel
hummingbird,basic22,elephant squirrel
hawaiishirt,basic23,bookcase dress
clownfish,basic33,ambulance bed
pandabear,basic33,bed pottedPlant
pug,basic23,lobster rosemary
husky,basic23,rosemary squirrel
goldfish,basic12,discusFish rhino
convertible,basic33,crocodile gloves
diningtable,basic23,bookcase squirrel
skittles,basic33,dress motorcycle
dalmatian,basic33,dress pretzels
pigeon,basic22,pig snake
minivan,basic33,rabbit socks
dressshirt,basic33,bookcase motorcycle
polarbear,basic22,hamster lobster
bedsidetable,basic33,dress iguana
suv,basic33,lamp socks
rose,basic22,ivy pottedPlant
jellybeans,basic23,chips hamster
coffeetable,basic23,bookcase pottedPlant
husky,basic23,cow motorcycle
germanshepherd,basic22,lobster sheep
eagle,basic33,bed pottedPlant
grizzlybear,basic33,cookies socks
picnictable,basic23,rhino wardrobe
convertible,basic23,ambulance crocodile
sportscar,basic33,sheep socks
minivan,basic22,ambulance motorcycle
hummingbird,basic12,bison sparrow
pandabear,basic12,koalaBear lobster
skittles,basic23,cookies rabbit
coffeetable,basic23,iguana lamp
tshirt,basic33,ambulance rhino
parrot,basic22,bison crocodile
pigeon,basic22,crocodile rabbit
germanshepherd,basic23,bison lamp
dressshirt,basic33,grasses snake
hummingbird,basic23,ivy snake
husky,basic22,bison cow
diningtable,basic23,bed kitten
tulip,basic33,gloves rabbit
daisy,basic33,chips snake
minivan,basic33,hamster wardrobe
sunflower,basic23,pottedPlant snake
catfish,basic22,iguana kitten
gummybears,basic33,crocodile motorcycle
hawaiishirt,basic33,grasses squirrel
bedsidetable,basic33,bathrobe grasses
rose,basic33,ambulance hamster
pug,basic12,greyhound iguana
polarbear,basic12,horse koalaBear
dalmatian,basic12,greyhound hamster
clownfish,basic22,cow iguana
picnictable,basic12,sideTable wardrobe
blackbear,basic22,lobster sheep
convertible,basic23,pig train
eagle,basic23,horse wardrobe
goldfish,basic23,kitten socks
minivan,basic23,ambulance pig
rose,basic33,lobster popcorn
diningtable,basic23,bison wardrobe
suv,basic33,rosemary sheep
eagle,basic22,cow rabbit
catfish,basic12,discusFish snake
daisy,basic33,ambulance squirrel
germanshepherd,basic12,greyhound kitten
convertible,basic33,iguana pretzels
pandabear,basic23,lion motorcycle
gummybears,basic33,iguana lamp
tshirt,basic23,cow dress
clownfish,basic23,gloves hamster
polarbear,basic12,koalaBear squirrel
hummingbird,basic23,lobster pottedPlant
dalmatian,basic23,lamp snake
jellybeans,basic22,cookies popcorn
grizzlybear,basic22,cow hamster
mnms,basic33,crocodile train
pigeon,basic22,cow horse
poloshirt,basic33,bookcase crocodile
coffeetable,basic23,bookcase crocodile
pug,basic33,motorcycle wardrobe
swordfish,basic33,ambulance wardrobe
parrot,basic23,elephant lamp
pandabear,basic33,bookcase popcorn
sunflower,basic23,rabbit rosemary
polarbear,basic12,koalaBear rhino
skittles,basic33,grasses kitten
pigeon,basic23,lobster popcorn
eagle,basic22,cow kitten
convertible,basic33,bed iguana
dressshirt,basic23,bathrobe motorcycle
pug,basic12,greyhound sheep
swordfish,basic12,discusFish iguana
goldfish,basic33,firetruck ivy
blackbear,basic12,hamster koalaBear
dalmatian,basic12,greyhound horse
hawaiishirt,basic23,dress wardrobe
jellybeans,basic33,bison train
poloshirt,basic33,cookies sheep
parrot,basic23,lobster pottedPlant
hummingbird,basic23,pig pretzels
grizzlybear,basic22,bison sheep
suv,basic33,popcorn rabbit
tulip,basic23,cookies grasses
husky,basic23,gloves lion
clownfish,basic33,chips firetruck
minivan,basic33,snake wardrobe
germanshepherd,basic22,rhino sheep
sunflower,basic33,gloves sheep
grizzlybear,basic23,cookies pig
mnms,basic33,gloves rabbit
picnictable,basic33,cow ivy
swordfish,basic22,rabbit sheep
tshirt,basic23,dress elephant
tulip,basic23,horse pottedPlant
pandabear,basic22,cow sheep
hummingbird,basic22,rhino squirrel
bedsidetable,basic23,bookcase cow
coffeetable,basic33,popcorn rosemary
rose,basic23,grasses hamster
parrot,basic33,bathrobe firetruck
eagle,basic33,motorcycle popcorn
clownfish,basic23,crocodile rosemary
pigeon,basic22,bison rhino
goldfish,basic12,discusFish elephant
suv,basic23,firetruck squirrel
hawaiishirt,basic33,ambulance bison
dalmatian,basic23,cookies hamster
dressshirt,basic22,gloves socks
minivan,basic23,ambulance bed
poloshirt,basic33,ambulance kitten
pug,basic12,elephant greyhound
diningtable,basic33,dress lobster
grizzlybear,basic12,bison koalaBear
polarbear,basic23,ambulance elephant
husky,basic23,chips lion
coffeetable,basic33,cookies horse
sportscar,basic23,ambulance kitten
sunflower,basic22,grasses ivy
swordfish,basic23,cow dress
pug,basic22,rabbit snake
gummybears,basic23,cookies dress
germanshepherd,basic33,gloves grasses
convertible,basic33,lamp popcorn
parrot,basic12,rhino sparrow
hummingbird,basic23,crocodile ivy
clownfish,basic33,bookcase pottedPlant
jellybeans,basic22,popcorn pretzels
pandabear,basic22,bison lobster
pigeon,basic33,chips gloves
skittles,basic33,elephant ivy
hawaiishirt,basic33,firetruck grasses
eagle,basic23,crocodile pottedPlant
diningtable,basic33,elephant motorcycle
skittles,basic33,cow wardrobe
grizzlybear,basic22,crocodile kitten
gummybears,basic33,grasses kitten
tulip,basic12,lily rosemary
sunflower,basic23,grasses pig
swordfish,basic23,ambulance crocodile
husky,basic23,bathrobe iguana
catfish,basic22,cow pig
minivan,basic23,firetruck pottedPlant
convertible,basic33,lobster popcorn
goldfish,basic22,crocodile rabbit
sportscar,basic33,dress rabbit
coffeetable,basic23,grasses lamp
pigeon,basic23,popcorn rhino
dalmatian,basic23,ambulance bison
eagle,basic23,motorcycle rabbit
suv,basic33,lobster wardrobe
bedsidetable,basic23,lamp pig
goldfish,basic22,cow squirrel
husky,basic22,rhino snake
rose,basic33,cookies kitten
sunflower,basic22,grasses pottedPlant
minivan,basic33,elephant grasses
pug,basic22,hamster iguana
daisy,basic23,bathrobe pottedPlant
gummybears,basic23,lion popcorn
clownfish,basic22,hamster lion
coffeetable,basic33,gloves motorcycle
hawaiishirt,basic33,bookcase rabbit
pandabear,basic12,koalaBear rabbit
catfish,basic33,bed dress
jellybeans,basic23,popcorn socks
dressshirt,basic23,bathrobe snake
blackbear,basic33,bookcase motorcycle
sportscar,basic23,ambulance lion
pigeon,basic22,bison snake
dalmatian,basic23,bison lamp
convertible,basic12,ambulance sedan
skittles,basic23,chips rabbit
polarbear,basic23,ivy sheep
hawaiishirt,basic23,dress lion
parrot,basic22,bison squirrel
dalmatian,basic33,cookies firetruck
clownfish,basic22,cow crocodile
rose,basic33,elephant wardrobe
picnictable,basic22,lamp wardrobe
daisy,basic23,pig rosemary
pigeon,basic12,crocodile sparrow
pug,basic23,lion rosemary
husky,basic23,lamp rhino
minivan,basic33,chips snake
germanshepherd,basic33,cookies motorcycle
catfish,basic33,firetruck lamp
hummingbird,basic33,bathrobe pretzels
sportscar,basic33,chips lobster
tshirt,basic23,bathrobe rabbit
blackbear,basic23,pottedPlant sheep
mnms,basic23,chips train
pigeon,basic33,firetruck gloves
minivan,basic23,firetruck wardrobe
daisy,basic23,pretzels rosemary
coffeetable,basic23,lion wardrobe
goldfish,basic22,bison lion
grizzlybear,basic33,ivy popcorn
skittles,basic33,bed ivy
sunflower,basic23,rosemary sheep
jellybeans,basic23,chips snake
swordfish,basic22,hamster pig
rose,basic33,bookcase pig
parrot,basic23,pig wardrobe
pandabear,basic12,koalaBear pig
suv,basic22,firetruck motorcycle
convertible,basic33,kitten pretzels
catfish,basic33,ivy train
husky,basic23,chips horse
clownfish,basic22,bison rabbit
hummingbird,basic33,bookcase firetruck
blackbear,basic33,bathrobe train
dressshirt,basic23,bathrobe ivy
sportscar,basic23,ambulance horse
swordfish,basic12,discusFish rhino
jellybeans,basic22,chips popcorn
tshirt,basic23,dress pig
daisy,basic33,crocodile dress
minivan,basic33,pretzels sheep
tulip,basic23,lobster rosemary
diningtable,basic33,bathrobe lobster
blackbear,basic33,grasses motorcycle
clownfish,basic23,dress lion
bedsidetable,basic23,popcorn wardrobe
catfish,basic33,cookies grasses
rose,basic23,ambulance grasses
pug,basic22,pig squirrel
sunflower,basic33,hamster socks
skittles,basic22,cookies popcorn
dalmatian,basic23,horse wardrobe
pandabear,basic22,kitten lion
grizzlybear,basic12,koalaBear sheep
convertible,basic33,rhino wardrobe
dressshirt,basic33,bookcase snake
parrot,basic33,bathrobe ivy
hummingbird,basic22,bison crocodile
poloshirt,basic23,dress popcorn
eagle,basic22,cow iguana
blackbear,basic22,rhino snake
pigeon,basic23,bookcase lion
germanshepherd,basic33,gloves pottedPlant
polarbear,basic22,pig rhino
sportscar,basic33,pottedPlant socks
daisy,basic23,grasses horse
grizzlybear,basic22,hamster sheep
clownfish,basic33,bathrobe rosemary
convertible,basic33,pottedPlant socks
pug,basic22,kitten rabbit
tulip,basic23,pig pottedPlant
mnms,basic33,bathrobe iguana
pandabear,basic23,crocodile wardrobe
parrot,basic12,bison sparrow
diningtable,basic33,pig train
coffeetable,basic33,motorcycle rhino
sunflower,basic23,rosemary squirrel
dressshirt,basic22,dress gloves
catfish,basic33,motorcycle pottedPlant
eagle,basic23,cookies rabbit
hummingbird,basic33,ambulance grasses
hummingbird,basic23,bathrobe horse
germanshepherd,basic33,bookcase gloves
pug,basic22,horse snake
swordfish,basic22,rhino snake
poloshirt,basic33,grasses kitten
parrot,basic12,sparrow squirrel
hawaiishirt,basic33,chips hamster
pigeon,basic22,pig squirrel
bedsidetable,basic33,popcorn rabbit
dalmatian,basic22,bison lobster
goldfish,basic23,lion socks
minivan,basic23,firetruck lion
suv,basic23,ambulance socks
gummybears,basic33,gloves lobster
catfish,basic23,cow firetruck
polarbear,basic12,iguana koalaBear
jellybeans,basic33,hamster motorcycle
sunflower,basic33,chips lamp
dressshirt,basic22,bathrobe dress
skittles,basic23,bookcase popcorn
eagle,basic23,motorcycle pig
tshirt,basic23,socks squirrel
